Designator,Mid X,Mid Y,Layer,Rotation
CONN2,64.6,72.98,Top,0
CONN8,32.95,57.85,Top,180
IC6,108.32,152.24,Top,0
CONN6,158.67,159.05,Top,0
RN1,123.58,112.08,Top,180
RN2,128.88,112.1,Top,0
IC9,126.2,124.6,Top,270
IC11,137.55,124.6,Top,270
C1,8.3,98.9,Top,0
C2,8.39,56.1,Top,0
C3,29.64,94.1,Top,270
C4,33,77.1,Top,270
C5,40,90.2,Top,270
C7,42.1,79.25,Top,0
C8,47.34,80.7,Top,90
C9,62.1,82.8,Top,0
C10,66.7,82.9,Top,0
C11,66.8,40.9,Top,270
C12,71.6,82.8,Top,0
C13,73.4,57.6,Top,0
C14,73.9,40.8,Top,90
C15,76.3,82.8,Top,0
C16,76.75,71.25,Top,0
C17,82.3,164.8,Top,0
C18,83.75,95.48,Top,0
C19,86.5,165,Top,0
C20,86.4,89.9,Top,90
C21,91.9,164.8,Top,0
C22,90.25,95.5,Top,0
C23,100.3,56.15,Top,270
C24,100.6,44.43,Top,270
C25,105.7,165.1,Top,0
C27,109.5,165.1,Top,0
C28,108.4,144.6,Top,90
C29,108.4,134.4,Top,90
C30,109.4,104.2,Top,270
C32,113.6,165.1,Top,0
C39,136.1,103,Top,270
C40,144.8,85.8,Top,90
C41,151.1,109.1,Top,90
C42,151.4,97.6,Top,90
C43,151.2,85.8,Top,90
C44,157.1,109.1,Top,90
C45,157.3,97.7,Top,90
C46,157.4,85.8,Top,90
C59,30.12,30.38,Top,180
C60,30.24,33.76,Top,270
C52,180.9,116.8,Top,270
C54,189.48,129.98,Top,90
C55,189.48,127.48,Top,90
C56,189.48,124.98,Top,90
C57,189.48,122.48,Top,90
C58,189.48,119.98,Top,90
IC5,87.2,79.8,Top,0
X2,110.47,62.79,Top,0
C6,25.5,31.6,Top,90
C26,106.97,62.73,Top,0
C31,111.7,54.4,Top,270
C33,113.67,62.73,Top,0
C34,114.17,42.73,Top,270
C35,119.47,58.63,Top,0
C36,120.9,35.5,Top,180
C37,132.07,41.3,Top,180
C38,133.87,54.93,Top,90
C48,172.1,77.7,Top,0
C51,173.7,107.6,Top,270
C53,189.48,132.48,Top,90
IC14,28.77,44.46,Top,270
CONN5,92.13,142.09,Top,90
IC1,10.31,104.74,Top,90
IC2,10.31,62.19,Top,90
L2,187.5,114.5,Top,270
LD1,166.6,78.4,Top,0
LED1,137.17,65.63,Top,180
LED2,141.87,65.63,Top,180
IC4,67.5,53.6,Top,0
L1,113.97,39.93,Top,180
L3,25.7,29.7,Top,0
SWPROG,181.59,83.52,Top,270
IC7,109.68,113.25,Top,180
IC3,33.02,83.53,Top,0
Q1,92,117.1,Top,0
IC12,180.6,113,Top,0
R1,13.5,93.3,Top,270
R2,13.5,89.85,Top,90
R3,13.98,76.68,Top,270
R4,13.99,73.54,Top,270
R5,15.43,63.7,Top,90
R6,16.65,103.92,Top,90
R7,23.77,84,Top,270
R8,23.83,80.5,Top,90
R9,29.7,90.3,Top,90
R10,34.74,90.2,Top,270
R11,42.74,84.3,Top,270
R12,47.55,84.3,Top,270
R13,62.1,89.17,Top,0
R14,66.6,89.17,Top,0
R15,66.97,62.5,Top,270
R16,66.72,44.17,Top,90
R17,71.6,89.23,Top,0
R18,71.89,72.3,Top,270
R19,76.3,89.2,Top,0
R20,76.17,44.1,Top,90
R21,82.2,170.8,Top,180
R22,82.9,140.4,Top,90
R23,82.56,99.8,Top,270
R24,86.5,170.9,Top,180
R25,88.98,100.1,Top,270
R26,91.9,170.8,Top,180
R27,92.03,121.13,Top,270
R28,91.8,111.8,Top,90
R29,105.7,170.4,Top,180
R30,109.5,170.4,Top,180
R31,108.41,137.7,Top,270
R32,109.64,46.33,Top,90
R33,113.6,170.5,Top,180
R34,117.6,40.2,Top,0
R35,121.5,63.15,Top,0
R36,129.5,39.13,Top,180
R37,134.2,89.27,Top,180
R38,137.17,71.21,Top,0
R39,138.61,51.13,Top,90
R40,138.71,48.13,Top,90
R41,141.97,71.06,Top,0
R42,144.8,92,Top,270
R43,144.8,89,Top,270
R44,151.11,112.12,Top,270
R45,151.22,115.68,Top,90
R46,151.2,104,Top,270
R47,151.2,100.9,Top,270
R48,151.2,92.1,Top,270
R49,151.2,89.1,Top,270
R50,157.05,115.6,Top,90
R51,157.1,112.3,Top,270
R52,157.3,104.07,Top,270
R53,157.3,101,Top,270
R54,157.5,92.1,Top,270
R55,157.45,89,Top,270
R56,173.5,111.1,Top,270
R57,180.6,108.6,Top,270
R58,173.5,114.5,Top,270
R59,25.6,33.8,Top,270
CONN3,70.81,156.05,Top,90
CONN7,170.87,12.18,Top,0
CONN4,71.48,123.67,Top,90
IC10,135.38,95.4,Top,0
D1,172.5,121.95,Top,270
D2,187.6,108.9,Top,0
IC8,123.76,49.31,Top,0
JTAG1,188.83,79.99,Top,0
C47,168.05,68.2,Top,0
C49,180.3,103,Top,180
C50,180.4,98.3,Top,180
X1,101.55,50.3,Top,90
